updateUnixTime,updateTime,tokens,total
1712003709,2024-04-01T20:35:09,"{'address': 'DJL5FFypPnvgJdNxmAQKjMzhQuPrtjeSeMax8tSJppr6', 'decimals': 6, 'lastTradeUnixTime': 1711952752, 'liquidity': 7196.353230721159, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fcf-ipfs.com%2Fipfs%2FQmYpY9tVmiEfR6X5Tm2nH2xkbCqZkJp4y1SBuduusvFhhG', 'mc': 3950.8391841209523, 'name': 'Spooderpeg', 'symbol': 'SPEG', 'v24hChangePercent': 193743536.44925904, 'v24hUSD': 1.9979400242371046}",260860
1712003709,2024-04-01T20:35:09,"{'address': '2EH4kQC3QHHP5qVDiMRFgourwgcRX3Tu4QdSpaNwfdYD', 'decimals': 5, 'lastTradeUnixTime': 1712001554, 'liquidity': 6096.980995756157, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafybeigybpiby7y62t7mdoff6cwwuoqz3mqlvxq4y7e3exrvpnjyc4aa5y.ipfs.w3s.link%2Fogape_logo850x850.png', 'mc': 9124.731628992593, 'name': 'Original Gangsta Ape Under Radar', 'symbol': 'OGAPE', 'v24hChangePercent': 193669473.86453465, 'v24hUSD': 66897.41814779531}",260860
1712003709,2024-04-01T20:35:09,"{'address': '27EKwe5bNLnXdYmUesk2ZRprE8p6LNb5GzjQe3T9tyDa', 'decimals': 9, 'lastTradeUnixTime': 1711977151, 'liquidity': 0, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreibjzv3tdpc2dvs2kygd4af6fyvikz2qpodxyv5stvysluwoz6eoha.ipfs.nftstorage.link', 'mc': 4.203554947917291, 'name': 'ARBITRUM', 'symbol': '$ARB', 'v24hChangePercent': 102200268.61787277, 'v24hUSD': 0.20628689558649246}",260860
1712003709,2024-04-01T20:35:09,"{'address': 'DXH9oApDA8b1U7ExJvTRrevMeQRxHWQ79pr9Lz9PMiKj', 'decimals': 8, 'lastTradeUnixTime': 1711993184, 'liquidity': 0, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreibhtdgoeec6rsuvyxmin4c2acz6zpctvv7z2be5dczcczldij5uuu.ipfs.nftstorage.link', 'mc': 1252.4901469768622, 'name': 'NVIBIA', 'symbol': 'NVBA', 'v24hChangePercent': 91927594.74974547, 'v24hUSD': 0.455365976860585}",260860
1712003709,2024-04-01T20:35:09,"{'address': '8rQyo3n5ibDfcnRPPPifk5SJANqiw85ARkZ9i3AFfdAV', 'decimals': 6, 'lastTradeUnixTime': 1712001282, 'liquidity': 0, 'logoURI': None, 'mc': None, 'name': 'BUY THE FUCKING DIP', 'symbol': 'BTFD', 'v24hChangePercent': 73877580.08547622, 'v24hUSD': 0.21733684174553086}",260860
1712003709,2024-04-01T20:35:09,"{'address': '66bid6js3FXuZncHj7J2mWL3Xio4ghydaCDVCg79JC66', 'decimals': 9, 'lastTradeUnixTime': 1711953972, 'liquidity': 0, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fgateway.irys.xyz%2FdzfaRYrLmVVqTboTjh_TX1kbxojo7tVcxxYHlwM7Pgs', 'mc': 60.06978284384802, 'name': 'Ikea Meatballs', 'symbol': 'MEATBALL', 'v24hChangePercent': 71234087.03138724, 'v24hUSD': 0.23399932183472924}",260860
1712003709,2024-04-01T20:35:09,"{'address': '7Qa2akY1iGkzcp1vnqcxheTFYVYZ7wAkYUdnqcnG86si', 'decimals': 9, 'lastTradeUnixTime': 1711998282, 'liquidity': 0, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fpbs.twimg.com%2Fprofile_images%2F1709583423210139648%2FX1m1U_bK_400x400.jpg', 'mc': 50958.52211962182, 'name': 'U SELL U GAY', 'symbol': 'USUG', 'v24hChangePercent': 65505432.300235, 'v24hUSD': 527.3930038615878}",260860
1712003709,2024-04-01T20:35:09,"{'address': 'Dfm3sWR6A2d6k2LR1dXP35neBW8QQAH8SQXkSNz38mBe', 'decimals': 6, 'lastTradeUnixTime': 1711927284, 'liquidity': 0, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreiajjt2zkzmrdehst6344i3fqn7ztp7pjf2lbum2tcejz43xf3ytsu.ipfs.nftstorage.link', 'mc': 208.31892344743883, 'name': 'Lerry Fink', 'symbol': 'blackruk', 'v24hChangePercent': 50748909.77438422, 'v24hUSD': 22.977583924613583}",260860
1712003709,2024-04-01T20:35:09,"{'address': 'HQfMKdYLMsBij2y4Zmwkx1L2dEupn12drC5fcjzbQkKn', 'decimals': 9, 'lastTradeUnixTime': 1711996746, 'liquidity': 2026.4163666173554, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fpurple-obedient-catfish-240.mypinata.cloud%2Fipfs%2FQmeEAJy4a8qbq5ViNebLqkzfHoHeBbj95f2T9G2TxkLTM8', 'mc': 1210.5352341058915, 'name': 'Tremp Thru KHole', 'symbol': 'KHREMP', 'v24hChangePercent': 49909015.377863765, 'v24hUSD': 65.27886086864011}",260860
1712003709,2024-04-01T20:35:09,"{'address': 'HoZTuffVHNhY7rKn1Lme1RoFtqLk76DdSsZ39hp3dnaF', 'decimals': 9, 'lastTradeUnixTime': 1711987412, 'liquidity': 0, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreiejrs7yqscttm4cphccgvnk34ntkwmctwozfgyvvscqsl47en65ky.ipfs.nftstorage.link', 'mc': 1213.0336090144108, 'name': 'SMOLE', 'symbol': 'SMOLE', 'v24hChangePercent': 46427578.68294014, 'v24hUSD': 20.027686602633175}",260860
1712003709,2024-04-01T20:35:09,"{'address': '6SB2a8nYrpg6e6Zqf4PBQQLppVoDAgbp6Fysdy3W7cJS', 'decimals': 9, 'lastTradeUnixTime': 1712001114, 'liquidity': 5915.757396905631, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fcdn.discordapp.com%2Fattachments%2F1216406910253797519%2F1216717081295454271%2Funnamed_2.jpg%3Fex%3D66016715%26is%3D65eef215%26hm%3D4a0299eaae8ae2538344ac5d41ef18be80679b5ccaa0fd26b2d0c7f516ccbeee%26', 'mc': 16428.56687266829, 'name': 'Disney ', 'symbol': 'DISNEY', 'v24hChangePercent': 39358485.01317514, 'v24hUSD': 166773.2953466506}",260860
1712003709,2024-04-01T20:35:09,"{'address': '9fr37zWt5gcEpfsG1P99de9PsMkfz8GvuXVRBaXkm1t9', 'decimals': 6, 'lastTradeUnixTime': 1711993334, 'liquidity': 0, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreid4ou7fha2jnqkl4wphxrc2ot3s6emplbi3lh6c2j22o5rjc373ai.ipfs.nftstorage.link', 'mc': None, 'name': 'da matrix is aftr me', 'symbol': 'endrewtati', 'v24hChangePercent': 33498965.82797722, 'v24hUSD': 0.01131211808499361}",260860
1712003709,2024-04-01T20:35:09,"{'address': '55jm8zxkFMeb794XVqeFhTph8J4rgjWU5MqqLSok9SUQ', 'decimals': 6, 'lastTradeUnixTime': 1711982698, 'liquidity': 411.7437755351176, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreibpljn7j6ybrn6roozbkymef5sn6qdvmt7btcnteq7sztwxlrbgpe.ipfs.nftstorage.link', 'mc': 258.6684270609363, 'name': ""McDonald's Happy Meal"", 'symbol': 'McHappy', 'v24hChangePercent': 31878030.20202296, 'v24hUSD': 136.48806389269026}",260860
1712003709,2024-04-01T20:35:09,"{'address': 'EqXGwGSQJ9482f5Rt7u9k8sf6XhzxBnKYdWashDNEUUY', 'decimals': 6, 'lastTradeUnixTime': 1711993564, 'liquidity': 0, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreicdl2naocu4oazdk5iuznuxraxl5fl7y2r7ichxv4z23qhp4q6hgy.ipfs.nftstorage.link', 'mc': 31395.75510445641, 'name': 'BABYMEW', 'symbol': '$BABYMEW', 'v24hChangePercent': 30209137.17922975, 'v24hUSD': 23.102946186760647}",260860
1712003709,2024-04-01T20:35:09,"{'address': 'Gzrj89BW2c68Do76mZBfifwyhWsT2hpjhbZyhW1cmKNV', 'decimals': 9, 'lastTradeUnixTime': 1711993725, 'liquidity': 0, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreihmimrqnbukbhcmgms3e2eyizj44fqhjjwkydefmhijzacusayh2a.ipfs.nftstorage.link%2F', 'mc': 111.3498517485211, 'name': 'Costco Rotisserie Chicken', 'symbol': 'CHICKEN', 'v24hChangePercent': 29760008.640950195, 'v24hUSD': 0.18450152253381105}",260860
1712003709,2024-04-01T20:35:09,"{'address': '5rUJPMSGpeVzGFXTz9PsUuYe2azSvc6UzirA85rUj6nB', 'decimals': 9, 'lastTradeUnixTime': 1711917327, 'liquidity': 400773.48897347914, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreifl4ewvrjjwsrfztrrjkrsxkljdfhtorjjdm6ya3bijegqfaxadaq.ipfs.nftstorage.link', 'mc': 217184.5686562233, 'name': 'Solhero Finance', 'symbol': 'HERO', 'v24hChangePercent': 28880115.234728817, 'v24hUSD': 11801.737793416134}",260860
1712003709,2024-04-01T20:35:09,"{'address': '5dQ7dGbCMv6C6uFeZn2pxWDaAngAQSTsgH2u47uZkt8p', 'decimals': 6, 'lastTradeUnixTime': 1711928708, 'liquidity': 0, 'logoURI': 'https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafybeidlqdjat4yuimwsfevgyvxqqzu24hpgtw6hekd7dagcz4kl6roqxu.ipfs.nftstorage.link', 'mc': 7.888556961967299, 'name': 'WifKuma', 'symbol': 'WIFKUMA', 'v24hChangePercent': 28107192.603357624, 'v24hUSD': 10.756350785389031}",260860
