address,decimals,lastTradeUnixTime,liquidity,logoURI,mc,name,symbol,v24hChangePercent,v24hUSD
H4XT8JpaCF1xe6in6ZhoNjUiVU15s8cqUvBEVus8AMQD,6,1711971566.0,0.0,https://img.fotofolio.xyz/?url=https%3A%2F%2Fgateway.irys.xyz%2Fiwk-1Nb38x0uRmi3-YI24tkqDSpkt7JnSzG8oIdI_-E,277380.3893982073,SolSurf,SSRF,,108380.1926261325
4DhTyyuEAkLs3YweVV33LkS3wGNzpGjHTVXGK31Jg4d1,6,,0.0,https://img.fotofolio.xyz/?url=https%3A%2F%2Fgateway.irys.xyz%2FLL8Fisj9QVaTx9Nu98s-MQWCstcNdZO2qF5OvOhmF4U,277245.7318404632,Majestic Trunks,MTK,-100.0,0.0
Fishy64jCaa3ooqXw7BHtKvYD8BTkSyAPh6RNE3xZpcN,6,1712022672.0,28041.50839717167,https://img.fotofolio.xyz/?url=https%3A%2F%2Fshdw-drive.genesysgo.net%2FCpRahRvMZad2VNTJDN24m4Bk6PsWRBm14w684RatY1bd%2FThe%20winning%20logo.png,277228.7654339203,FISHY by sharky.fi,FISHY,603.2034402093974,31486.395650090853
3W52uCb8NW8ruMF9mmJX3oKiYAjdPai4633srsZFQCS6,6,1712022657.0,129184.22892480048,https://imgur.fotofolio.xyz/?url=https%3A%2F%2Fi.imgur.com%2FBNautKe.png,276688.50423432415,Biao Coin,$BIAO,-63.303067088242734,9287.206457707678
6tACLeF3JaJdhLVSXzAxCP2hWvgmKPgLtuyfe8xcR1SX,9,1711997238.0,4912.661642963035,https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreihioxytjwk6tf3wagcntwqhqxwflglhxwuyyafyhz6h3cyevmh7aa.ipfs.nftstorage.link,276615.3341352704,Baby Red Panda,RANDA,2497.769503993302,50.23751817629014
BG4BpnNwujZQ7ch2P8GWYGqn5BB8j9nkkfX45AzrdZ9M,6,1711993230.0,0.0,https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreigpezsqj4u4zzz6uccd5glcwcxualnirgc5ew37rpf3kihrcfw2f4.ipfs.nftstorage.link,276342.37487677316,lola,lola,-99.31163587092092,0.001928303282225747
7cVj62eSWYknAyndgMx3GVCNAXjqcg2iuucvAAJw1TeG,6,,0.0,https://img.fotofolio.xyz/?url=https%3A%2F%2Fgateway.irys.xyz%2Fy9dyEvmBEpAi8CFBz5yF86oSWs9AIM7-I6y0nD3OPe8,276108.5678692265,PixelPupCoin,PPUP,-100.0,0.0
AMBPCft7b78YTKrF8rhiZdmSuHwsogEeTBvtLZyvLfzv,9,1711995052.0,0.0,https://img.fotofolio.xyz/?url=https%3A%2F%2Fstorage.googleapis.com%2Fpod_public%2F1300%2F150491.jpg,275469.69863588514,RocketRaccoon,RC,,0.572703254989998
4wjPQJ6PrkC4dHhYghwJzGBVP78DkBzA2U3kHoFNBuhj,6,1712022827.0,59231.567540184275,https://img.fotofolio.xyz/?url=https%3A%2F%2Fraw.githubusercontent.com%2Fsolana-labs%2Ftoken-list%2Fmain%2Fassets%2Fmainnet%2F4wjPQJ6PrkC4dHhYghwJzGBVP78DkBzA2U3kHoFNBuhj%2Flogo.png,275091.7270984745,LIQ Protocol,LIQ,-71.12499587315348,5189.847575068406
BKSynDKmMRSnEf6mq9w2SM5PbwXDA2xXbEWoCocErwWt,6,,0.0,https://img.fotofolio.xyz/?url=https%3A%2F%2Fbafkreihqdreakcnvnnavtciw3ls3hrbvlmosnqiowpus22gwmgxqndtkbi.ipfs.nftstorage.link,274904.1367267883,PRICE,Captain Price,-100.0,0.0
